# INITIAL SELECTION OF ULTRA-LUMINOUS INFRARED GALAXIES
# -----------------------------------------------------
# UPDATE - March 20, 2021
# Found duplicate for IRAS 07598+6508
# Removed the duplicate, 188 ULIRGs in total
# -----------------------------------------------------
# UPDATE - October 19, 2018
# Removed the object VII Zw 852 because it had a value log10(L_IR/L_sun) = 11.97 < 12.
# -----------------------------------------------------
# Made by Pablo Correa on April 16, 2018 for an IceCube analysis
# Spacing = tab (\t)
# Alignment and name spacing made by hand by Pablo Correa on April 17, 2018, but not required if updated later
#
# Legend
# ------
# Name			 = object name in the NASA/IPAC Extragalactic Database (NED)
# RA			 = right ascension (J2000) in NED [in degrees]
# DEC			 = declination (J2000) in NED [in degrees]
# z			 = redshift in NED
# f_60			 = IRAS flux at 60 micron in NED [in Jansky]
# unc_f_60		 = uncertainty on the IRAS flux at 60 micron in NED [in Jansky]
# L_IR			 = the total infrared luminosity between 8 and 1000 micron [in solar luminosities]
# Catalog		 = the original catalog(s) where the object was identified
# RBGS			 = ULIRG in the revised IRAS Revised Bright Galaxy Sample, reference code: 2003AJ....126.1607S
# FSC			 = ULIRG in the IRAS 1 Jy Faint Source Catalog, reference code: 1998ApJS..119...41K
# PSCz + Spitzer	 	 = ULIRG in the IRAS Point Source Catalog Redshift Survey observed by Spitzer, reference code: 2010MNRAS.405.2505N

Row	Name				RA [deg]		DEC [deg]	z		f_60 [Jy]	unc_f_60 [Jy]	log10(L_IR/L_sun)	Catalog
154	IRAS 18443+7433			280.72833	74.60583		0.134743		2.107		0.105		12.33			PSCz + Spitzer	
155	IRAS 18531-4616			284.21540	-46.21217	0.140770		1.423		0.128		12.33			PSCz + Spitzer
156	VII Zw 852			284.557917	65.523333	0.17640		0.763		0.038		12.21			PSCz + Spitzer	
157	IRAS 18588+3517			285.17167	35.35750		0.106727		1.474		0.103		11.97			PSCz + Spitzer	
158	Superantennae			292.83917	-72.65500	0.061709		5.484		0.219		12.10			PSCz + Spitzer	
159	2MASX J19322229-0400010		293.08854	-3.99896		0.085730		7.32		0.107		12.37			RBGS & PSCz + Spitzer	
160	IRAS 19458+0944			297.06542	9.86806		0.099950		3.947		0.395		12.37			PSCz + Spitzer	
161	IRAS 19542+1110			299.14767	11.31739		0.064955		6.18		0.044		12.04			RBGS & PSCz + Spitzer	
162	GALEXASC J200631.82-153906.5	301.63208	-15.65222	0.191899		1.649		0.115		12.58			PSCz + Spitzer	
163	2MASX J20112386-0259503		302.84946	-2.99742		0.105670		4.7		0.282		12.44			PSCz + Spitzer	
164	2MASX J20132950-4147354		303.37308	-41.79303	0.129583		5.228		0.314		12.64			PSCz + Spitzer	
165	IRAS 20286+1846			307.73150	18.94620		0.135760		0.924		0.074		12.20			PSCz + Spitzer	
166	IRAS 20414-1651			311.07589	-16.67117	0.087084		4.364		0.262		12.14			FSC & PSCz + Spitzer	
167	ESO 286-IG 019			314.61159	-42.65006	0.042996		12.19		0.032		12.00			RBGS & PSCz + Spitzer	
168	IRAS 21208-0519			320.87146	-5.11561		0.130000		1.171		0.07		12.01			FSC & PSCz + Spitzer	
169	[HB89] 2121-179			321.17350	-17.74611	0.111831		1.067		0.085		12.06			FSC & PSCz + Spitzer	
170	2MASX J21354580-2332359		323.94085	-23.54317	0.125066		1.652		0.083		12.09			FSC & PSCz + Spitzer	
171	GALEXASC J215016.25+051603.4	327.56803	5.26757		0.171000		1.139		0.148		12.24			FSC	
172	2MASX J22074966+3039393		331.95696	30.66103		0.126891		1.874		0.356		12.29			PSCz + Spitzer	
173	IRAS 22088-1832			332.89086	-18.28503	0.170204		1.727		0.104		12.31			FSC	
174	2MASX J22232890-2700034		335.87029	-27.00100	0.131401		1.754		0.105		12.19			FSC & PSCz + Spitzer	
175	IRAS 22491-1808			342.95527	-17.87318	0.077760		5.54		0.036		12.11			RBGS & FSC & PSCz + Spitzer	
176	IRAS 22542+0833			344.17628	8.82295		0.166110		1.2		0.192		12.23			FSC	
177	2MASX J23042114+3421477		346.08821	34.36325		0.108038		1.417		0.099		11.99			PSCz + Spitzer*	
178	2MASX J23083397+0521293		347.14136	5.35831		0.173000		1.152		0.081		12.44			FSC & PSCz + Spitzer	
179	2MASSi J2315213+260432		348.83914	26.07561		0.178913		1.811		0.145		12.38			FSC & PSCz + Spitzer	
180	ESO 148-IG 002			348.94479	-59.05432	0.044601		10.94		0.037		12.00			RBGS & PSCz + Spitzer	
181	2MASX J23254938+2834208		351.45587	28.57253		0.114009		1.262		0.126		12.00			FSC	
182	2MASX J23255611+1002500		351.48422	10.04698		0.127942		1.561		0.094		12.05			FSC & PSCz + Spitzer	
183	2MASX J23260362-6910185		351.51508	-69.17189	0.106590		3.744		0.15		12.31			PSCz + Spitzer	
184	AM 2325-541			352.02542	-53.97528	0.130040		2.296		0.184		12.36			PSCz + Spitzer	
